timestamp,X,Y,Z,timestamp2,esito_positivo,esito_negativo
1488940557,2030,8183,2030,1488940653,2,0
1488940557,2030,8183,2030,1488940689,2,0
1488940557,2030,8183,2030,1488940740,2,0
1488940557,2030,8183,2030,1488940771,2,0
1488940560,2030,8183,2030,1488940573,2,0
1488940560,2030,8183,2030,1488940605,2,0
1488940560,2030,8183,2030,1488940623,2,0
1488940560,2030,8183,2030,1488940653,2,0
1488940560,2030,8183,2030,1488940689,2,0
1488940560,2030,8183,2030,1488940740,2,0
1488940560,2030,8183,2030,1488940771,2,0
1488940564,2030,8183,2030,1488940573,2,0
1488940564,2030,8183,2030,1488940605,2,0
1488940564,2030,8183,2030,1488940623,2,0
1488940564,2030,8183,2030,1488940653,2,0
1488940564,2030,8183,2030,1488940689,2,0
1488940564,2030,8183,2030,1488940740,2,0
1488940564,2030,8183,2030,1488940771,2,0
1488940567,2030,8183,2030,1488940573,2,0
1488940567,2030,8183,2030,1488940605,2,0
1488940567,2030,8183,2030,1488940623,2,0
1488940567,2030,8183,2030,1488940653,2,0
1488940567,2030,8183,2030,1488940689,2,0
1488940567,2030,8183,2030,1488940740,2,0
1488940567,2030,8183,2030,1488940771,2,0
1488940573,8183,2030,8183,1488940575,2,0
1488940573,8183,2030,8183,1488940580,2,0
1488940573,8183,2030,8183,1488940583,2,0
1488940573,8183,2030,8183,1488940586,2,0
1488940573,8183,2030,8183,1488940589,2,0
1488940573,8183,2030,8183,1488940592,2,0
1488940573,8183,2030,8183,1488940596,2,0
1488940573,8183,2030,8183,1488940599,2,0
1488940573,8183,2030,8183,1488940609,2,0
1488940573,8183,2030,8183,1488940613,2,0
1488940573,8183,2030,8183,1488940616,2,0
1488940573,8183,2030,8183,1488940627,2,0
1488940573,8183,2030,8183,1488940630,2,0
1488940573,8183,2030,8183,1488940633,2,0
1488940573,8183,2030,8183,1488940637,2,0
1488940573,8183,2030,8183,1488940640,2,0
1488940573,8183,2030,8183,1488940643,2,0
1488940573,8183,2030,8183,1488940646,2,0
1488940573,8183,2030,8183,1488940654,2,0
1488940573,8183,2030,8183,1488940660,2,0
1488940573,8183,2030,8183,1488940663,2,0
1488940573,8183,2030,8183,1488940667,2,0
1488940573,8183,2030,8183,1488940670,2,0
1488940573,8183,2030,8183,1488940674,2,0
1488940573,8183,2030,8183,1488940677,2,0
1488940573,8183,2030,8183,1488940680,2,0
1488940573,8183,2030,8183,1488940705,2,0
1488940573,8183,2030,8183,1488940708,2,0
1488940573,8183,2030,8183,1488940711,2,0
1488940573,8183,2030,8183,1488940715,2,0
1488940573,8183,2030,8183,1488940718,2,0
1488940573,8183,2030,8183,1488940723,2,0
1488940573,8183,2030,8183,1488940726,2,0
1488940573,8183,2030,8183,1488940729,2,0
1488940573,8183,2030,8183,1488940743,2,0
1488940573,8183,2030,8183,1488940747,2,0
1488940573,8183,2030,8183,1488940750,2,0
1488940573,8183,2030,8183,1488940753,2,0
1488940573,8183,2030,8183,1488940756,2,0
1488940573,8183,2030,8183,1488940759,2,0
1488940573,8183,2030,8183,1488940763,2,0
1488940575,2030,8183,2030,1488940605,2,0
1488940575,2030,8183,2030,1488940623,2,0
1488940575,2030,8183,2030,1488940653,2,0
1488940575,2030,8183,2030,1488940689,2,0
1488940575,2030,8183,2030,1488940740,2,0
1488940575,2030,8183,2030,1488940771,2,0
1488940580,2030,8183,2030,1488940605,2,0
1488940580,2030,8183,2030,1488940623,2,0
1488940580,2030,8183,2030,1488940653,2,0
1488940580,2030,8183,2030,1488940689,2,0
1488940580,2030,8183,2030,1488940740,2,0
1488940580,2030,8183,2030,1488940771,2,0
1488940583,2030,8183,2030,1488940605,2,0
1488940583,2030,8183,2030,1488940623,2,0
1488940583,2030,8183,2030,1488940653,2,0
1488940583,2030,8183,2030,1488940689,2,0
1488940583,2030,8183,2030,1488940740,2,0
1488940583,2030,8183,2030,1488940771,2,0
1488940586,2030,8183,2030,1488940605,2,0
1488940586,2030,8183,2030,1488940623,2,0
1488940586,2030,8183,2030,1488940653,2,0
1488940586,2030,8183,2030,1488940689,2,0
1488940586,2030,8183,2030,1488940740,2,0
1488940586,2030,8183,2030,1488940771,2,0
1488940589,2030,8183,2030,1488940605,2,0
1488940589,2030,8183,2030,1488940623,2,0
1488940589,2030,8183,2030,1488940653,2,0
1488940589,2030,8183,2030,1488940689,2,0
1488940589,2030,8183,2030,1488940740,2,0
1488940589,2030,8183,2030,1488940771,2,0
1488940592,2030,8183,2030,1488940605,2,0
1488940592,2030,8183,2030,1488940623,2,0
1488940592,2030,8183,2030,1488940653,2,0
1488940592,2030,8183,2030,1488940689,2,0
1488940592,2030,8183,2030,1488940740,2,0
1488940592,2030,8183,2030,1488940771,2,0
1488940596,2030,8183,2030,1488940605,2,0
1488940596,2030,8183,2030,1488940623,2,0
1488940596,2030,8183,2030,1488940653,2,0
1488940596,2030,8183,2030,1488940689,2,0
1488940596,2030,8183,2030,1488940740,2,0
1488940596,2030,8183,2030,1488940771,2,0
1488940599,2030,8183,2030,1488940605,2,0
1488940599,2030,8183,2030,1488940623,2,0
1488940599,2030,8183,2030,1488940653,2,0
1488940599,2030,8183,2030,1488940689,2,0
