timestamp,A,X,B,Y,esito_positivo,esito_negativo
1522582503,1898,11,7637,11,3,0
1522583435,1898,11,7637,11,3,0
1522606124,1898,11,7637,11,3,0
1522606819,8524,8520,41332,8520,3,0
1522607297,41332,8520,41332,8520,3,0
1522607298,41332,8520,41332,8520,3,0
1522607433,41332,8520,41332,8520,3,0
1522607441,41332,8520,41332,8520,3,0
1522607442,41332,8520,41332,8520,3,0
1522608684,7637,11,7637,11,3,0
1522608685,7637,11,7637,11,3,0
1522608719,1898,11,7637,11,3,0
1522609329,7637,11,7637,11,3,0
1522609330,7637,11,7637,11,3,0
1522609394,1898,11,7637,11,3,0
1522705762,41337,8520,41337,8520,3,0
1522705908,41337,8520,41337,8520,3,0
1522755853,8531,8520,41332,8520,3,0
1522756692,8651,8520,41332,8520,3,0
1522756727,8651,8520,41332,8520,3,0
1522756938,41332,8520,41332,8520,3,0
1522756939,41332,8520,41332,8520,3,0
1522759075,41345,8520,41332,8520,3,0
1522759102,41332,8520,41332,8520,3,0
1522759103,41332,8520,41332,8520,3,0
1522764058,23061,228,23076,228,3,0
1522764085,23070,228,23076,228,3,0
1522764090,23061,228,23076,228,3,0
1522764590,1394,228,23076,228,3,0
1522764734,23074,228,23076,228,3,0
1522765155,41479,228,23076,228,3,0
1522765198,23079,228,23076,228,3,0
1522765376,23074,228,23076,228,3,0
1522765558,24020,228,23076,228,3,0
1522770724,7867,11,7640,11,3,0
1522777635,4844,1,4844,1,3,0
1522832970,1898,8520,41332,8520,3,0
1522834013,41345,8520,41332,8520,3,0
1522839387,23105,228,23113,228,3,0
1522840098,41561,228,23113,228,3,0
1522840779,41562,228,23113,228,3,0
1522853170,23142,228,23144,228,3,0
1522853171,23142,228,23144,228,3,0
1522853358,41570,228,23144,228,3,0
1522853882,23097,228,23144,228,3,0
1522853916,23097,228,23144,228,3,0
1522854495,14953,228,23136,228,3,0
1522854495,14953,228,23144,228,3,0
1522854771,14953,228,23136,228,3,0
1522854776,5888,228,23136,228,3,0
1522854777,5888,228,23136,228,3,0
1522855769,23144,228,23136,228,3,0
1522855812,23144,228,23136,228,3,0
1522919231,1898,11,7646,11,3,0
1522928955,41589,228,23187,228,3,0
1522933744,1488,228,23199,228,3,0
1522934732,39590,228,23199,228,3,0
1522934887,39590,228,23199,228,3,0
1522966152,7650,11,7650,11,3,0
1522966199,7650,11,7650,11,3,0
1523011503,32349,8520,33341,8520,3,0
1523011504,32349,8520,33341,8520,3,0
1523013176,33341,8520,33341,8520,3,0
1523021367,33309,8520,41332,8520,3,0
1523021367,41352,8520,41332,8520,3,0
1523022002,41332,8520,41332,8520,3,0
1523022022,41332,8520,41332,8520,3,0
1523027292,1898,11,7648,11,3,0
1523127118,7637,11,7650,11,3,0
1523127119,7654,11,7650,11,3,0
1523127120,7637,11,7650,11,3,0
1523127565,1898,11,7650,11,3,0
1523128062,1898,11,7650,11,3,0
1523128134,1898,11,7650,11,3,0
1523128224,1898,11,7650,11,3,0
1523128390,1898,11,7650,11,3,0
1523128460,1898,11,7650,11,3,0
1523133417,7637,11,7637,11,3,0
1523133419,7637,11,7637,11,3,0
1523133420,7637,11,7637,11,3,0
1523133422,7637,11,7637,11,3,0
1523134221,1898,11,7637,11,3,0
1523134765,7637,11,7637,11,3,0
1523134767,7637,11,7637,11,3,0
1523134803,1898,11,7637,11,3,0
1523134871,1898,11,7637,11,3,0
1523134903,1898,11,7637,11,3,0
1523190799,1898,11,7638,11,3,0
1523191778,7638,11,7638,11,3,0
1523195520,7638,11,7638,11,3,0
1523195520,7638,11,7646,11,3,0
1523195543,1898,11,7638,11,3,0
1523195575,1898,11,7638,11,3,0
1523195660,7638,11,7638,11,3,0
1523196522,7638,11,7637,11,3,0
1523203283,7526,7514,7526,7514,3,0
1523204293,46295,8270,46295,8270,3,0
1523204294,46295,8270,46295,8270,3,0
1523204296,46295,8270,46295,8270,3,0
1523215975,7638,11,7638,11,3,0
1523216639,7638,11,7638,11,3,0
1523216738,7638,11,7638,11,3,0
1523277115,33818,7514,7526,7514,3,0
1523277116,33818,7514,7526,7514,3,0
1523277214,33818,7514,7526,7514,3,0
1523354294,4850,1,44691,1,3,0
1523365831,23380,228,14146,228,3,0
1523370924,1898,11,7637,11,3,0
1523371973,1898,11,7637,11,3,0
1523373180,7650,11,7638,11,3,0
1523373181,7650,11,7638,11,3,0
1523373368,1898,11,7638,11,3,0
1523374042,7638,11,7638,11,3,0
1523374042,7638,11,7640,11,3,0
1523374268,7638,11,7638,11,3,0
1523374268,7638,11,7640,11,3,0
1523374711,7638,11,7638,11,3,0
1523374711,7638,11,7640,11,3,0
1523374733,7638,11,7638,11,3,0
1523374733,7638,11,7640,11,3,0
1523375048,1898,11,7638,11,3,0
1523375048,1898,11,7640,11,3,0
1523375051,1898,11,7638,11,3,0
1523375051,1898,11,7640,11,3,0
1523375067,1898,11,7638,11,3,0
1523375067,1898,11,7640,11,3,0
1523375081,1898,11,7638,11,3,0
1523375081,1898,11,7640,11,3,0
1523375118,1898,11,7638,11,3,0
1523375118,1898,11,7640,11,3,0
1523375124,1898,11,7638,11,3,0
1523375124,1898,11,7640,11,3,0
1523375161,1898,11,7638,11,3,0
1523375161,1898,11,7640,11,3,0
1523375163,1898,11,7638,11,3,0
1523375163,1898,11,7640,11,3,0
1523375515,7638,11,7638,11,3,0
1523375515,7638,11,7640,11,3,0
1523375530,7650,11,7638,11,3,0
1523375530,7650,11,7640,11,3,0
1523375585,1898,11,7638,11,3,0
1523375585,1898,11,7640,11,3,0
1523375590,1898,11,7638,11,3,0
1523375590,1898,11,7640,11,3,0
1523375861,7640,11,7638,11,3,0
1523376115,1898,11,7638,11,3,0
1523376130,1898,11,7638,11,3,0
1523376171,1898,11,7638,11,3,0
1523376357,7638,11,7638,11,3,0
1523376409,1898,11,7638,11,3,0
1523376415,7638,11,7638,11,3,0
1523376441,7638,11,7638,11,3,0
1523376457,7638,11,7638,11,3,0
1523376474,7638,11,7638,11,3,0
1523376476,1898,11,7638,11,3,0
1523376489,7638,11,7638,11,3,0
1523376504,1898,11,7638,11,3,0
1523376511,7638,11,7638,11,3,0
1523376520,7638,11,7638,11,3,0
1523376526,1898,11,7638,11,3,0
1523376543,7638,11,7638,11,3,0
1523376550,1898,11,7638,11,3,0
1523376587,7638,11,7638,11,3,0
1523376590,1898,11,7638,11,3,0
1523376913,7650,11,7638,11,3,0
1523398408,7637,11,7637,11,3,0
1523398410,7637,11,7637,11,3,0
1523453605,33341,8520,41332,8520,5,1
1523454388,7662,11,7646,11,3,0
1523454553,1898,11,7646,11,3,0
1523454641,1898,11,7646,11,3,0
1523454656,1898,11,7646,11,3,0
