timestamp,event_type,n_1a,n_1b,n_2,n_3a,n_3b,n_3c,n_4a,n_4b,n_4c,n_4d,n_1_comune,n_2_comune
1512757391,8,0,0,0,0,0,0,0,0,12,9,4,6
1512758597,8,0,0,0,0,0,0,0,0,12,9,4,6
1512758598,8,0,0,0,0,0,0,0,0,12,9,4,6
1512758637,8,0,0,0,0,0,0,0,0,12,9,4,6
1512758638,8,0,0,0,0,0,0,0,0,12,9,4,6
1512762095,9,0,0,0,0,0,0,0,0,12,9,4,6
1512762222,9,0,0,0,0,0,0,0,0,12,9,4,6
1512827128,8,0,0,0,0,0,0,0,0,2,1,3,0
1512827129,8,0,0,0,0,0,0,0,0,2,1,3,0
1512851047,9,0,0,0,0,0,0,0,0,2,1,3,0
1512917920,8,0,1,0,0,0,0,0,0,1,1,0,0
1512923168,1,0,1,0,0,0,0,0,0,1,1,0,0
1512931773,9,0,1,0,0,0,0,0,0,1,1,0,0
1512995655,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996030,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996526,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996528,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996566,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996569,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996571,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996583,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996584,8,0,0,0,0,0,0,0,0,32,0,6,8
1512996640,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998120,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998120,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998229,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998229,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998230,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998230,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998270,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998270,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998499,8,0,0,0,0,0,0,0,0,32,0,6,8
1512998499,8,0,0,0,0,0,0,0,0,32,0,6,8
1512999037,8,0,0,0,0,0,0,0,0,32,0,6,8
1512999039,8,0,0,0,0,0,0,0,0,32,0,6,8
1513003070,8,0,0,0,0,0,0,0,0,32,0,6,8
1513003072,8,0,0,0,0,0,0,0,0,32,0,6,8
1513004391,8,0,0,0,0,0,0,0,0,32,0,6,8
1513004408,8,0,0,0,0,0,0,0,0,32,0,6,8
1513004410,8,0,0,0,0,0,0,0,0,32,0,6,8
1513017934,8,0,0,0,0,0,0,0,0,32,0,6,8
1513018298,8,0,0,0,0,0,0,0,0,32,0,6,8
1513018866,8,0,0,0,0,0,0,0,0,32,0,6,8
1513018976,8,0,0,0,0,0,0,0,0,32,0,6,8
1513019119,8,0,0,0,0,0,0,0,0,32,0,6,8
1513095289,2,0,0,1,0,0,0,0,0,7,3,3,2
1513096210,9,0,0,1,0,0,0,0,0,7,3,3,2
1513096216,9,0,0,1,0,0,0,0,0,7,3,3,2
1513107854,8,0,0,1,0,0,0,0,0,7,3,3,2
1513107855,8,0,0,1,0,0,0,0,0,7,3,3,2
1513108155,8,0,0,1,0,0,0,0,0,7,3,3,2
1513108436,8,0,0,1,0,0,0,0,0,7,3,3,2
1513108481,8,0,0,1,0,0,0,0,0,7,3,3,2
1513108907,8,0,0,1,0,0,0,0,0,7,3,3,2
1513109009,8,0,0,1,0,0,0,0,0,7,3,3,2
1513112852,9,0,0,1,0,0,0,0,0,7,3,3,2
1513172367,8,0,2,0,0,0,0,0,0,22,0,6,5
1513172501,8,0,2,0,0,0,0,0,0,22,0,6,5
1513172503,8,0,2,0,0,0,0,0,0,22,0,6,5
1513172697,8,0,2,0,0,0,0,0,0,22,0,6,5
1513172698,8,0,2,0,0,0,0,0,0,22,0,6,5
1513172979,8,0,2,0,0,0,0,0,0,22,0,6,5
1513173199,8,0,2,0,0,0,0,0,0,22,0,6,5
1513173201,8,0,2,0,0,0,0,0,0,22,0,6,5
1513173262,8,0,2,0,0,0,0,0,0,22,0,6,5
1513173263,8,0,2,0,0,0,0,0,0,22,0,6,5
1513173293,8,0,2,0,0,0,0,0,0,22,0,6,5
