timestamp,X1,A,X2,chiamate,p0,p_cappuccio,z,significativo
4375579,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4376455,38,42,38,2,0.0005821793037135527,0.01747533217249439,27.25932532678778,0.0
4376507,40,6,40,2,4.882794160178184e-05,0.014479112742560434,90.13610504441573,0.0
4376646,39,9,39,2,2.629196855480561e-05,0.026950287856683453,279.63194664205844,0.0
4377082,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4378927,39,9,39,2,2.629196855480561e-05,0.026950287856683453,279.63194664205844,0.0
4379129,40,10,40,2,3.755995507829373e-05,0.012643732254066856,89.66143044899222,0.0
4379317,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4380516,39,45,39,2,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
4380784,37,44,37,4,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4380919,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4382474,36,47,36,2,0.0009014389218790494,0.01912246850832196,23.444415805921693,0.0
4382720,37,44,37,2,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4382974,38,47,38,2,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4384490,40,45,40,2,0.0008713909578164145,0.02058136069148352,26.264762635387477,0.0
4384991,28,43,28,4,0.0026554888240353665,0.009490642696911229,3.072064621424795,0.0010629184896477906
4385094,29,42,29,2,0.0024564210621204107,0.008157246615527006,2.5126030526015573,0.005992204856445471
4385158,39,45,39,2,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
4385297,12,42,12,4,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4386093,12,42,12,4,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4386104,28,43,28,2,0.0026554888240353665,0.009490642696911229,3.072064621424795,0.0010629184896477906
4386484,41,44,41,2,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
4386578,37,44,37,2,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4387167,39,46,39,8,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4387385,40,43,40,2,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4387767,39,46,39,6,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4387924,39,46,39,2,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4388220,39,46,39,2,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4388318,38,46,38,2,0.00137845035137338,0.025930632029742568,26.64314973127951,0.0
4388583,37,44,37,2,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4389677,11,43,11,4,0.0016451260324292652,0.0015059532213280624,-0.0332947890553181,0.5132802454054284
4390183,36,8,36,8,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4390673,11,43,11,2,0.0016451260324292652,0.0015059532213280624,-0.0332947890553181,0.5132802454054284
4390793,36,8,36,6,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4391701,36,8,36,4,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4391716,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4391747,40,43,40,2,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4392188,37,44,37,2,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4392350,41,44,41,6,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
4393142,14,43,14,2,0.0016639060099684119,0.00257267008643544,0.25324636738927386,0.4000389190000866
4393843,36,8,36,2,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4395004,12,42,12,10,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4395059,32,43,32,2,0.002418861107042116,0.008580795959025523,2.7625388302841207,0.002867686959717064
4395473,30,44,30,4,0.00197565363711825,0.006588545343310275,2.1840291053443277,0.014480054709597234
4396053,12,42,12,6,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4397022,30,44,30,2,0.00197565363711825,0.006588545343310275,2.1840291053443277,0.014480054709597234
4398447,39,46,39,4,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4399231,39,46,39,4,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4399307,36,43,36,6,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4399571,38,45,38,4,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4401070,38,45,38,2,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4402762,28,45,28,2,0.0019230697000086386,0.0053492713382590545,1.5582195559846288,0.05959060535691629
4402787,38,7,38,2,6.009592812526997e-05,0.01485560104789245,82.97575740026127,0.0
4404007,36,43,36,4,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4404865,15,46,15,2,0.0023362292058698693,0.003498203837043312,0.315653816519008,0.37613264236798216
4405185,38,7,38,2,6.009592812526997e-05,0.01485560104789245,82.97575740026127,0.0
4405191,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4405226,36,47,36,4,0.0009014389218790494,0.01912246850832196,23.444415805921693,0.0
4405955,28,47,28,4,0.0015887860998118244,0.0061336219743674215,2.349706897636745,0.009394099600775974
4405999,36,47,36,2,0.0009014389218790494,0.01912246850832196,23.444415805921693,0.0
4406781,28,47,28,2,0.0015887860998118244,0.0061336219743674215,2.349706897636745,0.009394099600775974
4406875,40,42,40,8,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4407122,38,7,38,2,6.009592812526997e-05,0.01485560104789245,82.97575740026127,0.0
4407815,37,42,37,4,0.0008338310027381206,0.017224339968939715,21.95609778708093,0.0
4408468,40,42,40,6,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4409163,38,7,38,2,6.009592812526997e-05,0.01485560104789245,82.97575740026127,0.0
4409785,41,47,41,2,0.0007925150521519976,0.01932639967371013,25.83771871646964,0.0
4410185,40,42,40,4,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4411128,40,42,40,2,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4413334,40,42,40,2,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4414160,41,44,41,4,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
4414202,40,43,40,2,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
