timestamp,X,Y,A,Z,chiamate,p0,p_cappuccio,z,significativo
6491794,29,36,43,36,3,0.0028470445949346,0.0007291988207557,-0.921092928852566,0.8214990441461427
6491794,29,36,45,36,3,0.0017916098572346,0.0006173585108239,-0.6434515925869528,0.7400344422555762
6492179,33,23,47,23,3,0.001802877843758,0.0001118403099318,-0.6938782171554565,0.756120707391251
6492991,34,19,44,19,3,0.0016901979785232,5.36833487672961e-05,-0.6980517547975925,0.7574275859225647
6493311,1,19,44,19,3,0.0017277579336015,2.2368061986373377e-05,-0.6294941013413721,0.73548718538117
6494334,34,19,44,19,3,0.0016901979785232,5.36833487672961e-05,-0.6980517547975925,0.7574275859225647
6496723,30,19,44,19,3,0.0017052219605545,1.3420837191824024e-05,-0.4903401657493162,0.6880533954005272
6496879,31,36,43,36,3,0.0028094846398563,0.000782882169523,-0.8930291124384782,0.8140792087212974
6496879,31,36,45,36,3,0.0017465379111406,0.0006128848984266,-0.6332426756994368,0.7367124093882483
6504908,18,31,44,31,3,0.0028094846398563,5.36833487672961e-05,-0.4828305311255439,0.6853919647005339
6504908,18,31,46,31,3,0.0021183814664157,3.131528678092273e-05,-0.4209629272002993,0.6631089233464876
6507074,2,31,44,31,3,0.0028094846398563,6.263057356184544e-05,-0.6292045490048211,0.7353924244466346
6507074,2,31,46,31,3,0.0020657975293061,8.052502315094415e-05,-0.5301319326600238,0.7019897698005915
6507074,2,31,47,31,3,0.0022498413091897,6.710418595912013e-05,-0.5585644046228386,0.7117704807045304
6507135,32,40,42,40,3,0.0018592177763755,0.0005368334876729,-0.7006732065961846,0.7582465096459636
6508593,2,26,46,26,3,0.0014836182255926,5.36833487672961e-05,-0.5755501914623634,0.717540372037923
6509251,27,26,46,26,3,0.0015286901716865,1.3420837191824024e-05,-0.4472889021191641,0.672666760558416
6509611,33,26,46,26,3,0.0014460582705143,8.052502315094415e-05,-0.6626177647259128,0.7462123051379356
6510141,33,26,46,26,3,0.0014460582705143,8.052502315094415e-05,-0.6626177647259128,0.7462123051379356
6510290,38,14,47,14,3,0.0035005878132969,0.0006978835339748,-2.062999710461498,0.9804436721559956
6510930,24,28,43,28,3,0.0038799433595877,7.157779835639481e-05,-0.5875759450009598,0.7215915194646219
6511123,33,26,46,26,3,0.0014460582705143,8.052502315094415e-05,-0.6626177647259128,0.7462123051379356
6511189,25,31,44,31,3,0.0028545565859503,5.36833487672961e-05,-0.5089894701900476,0.6946201975461069
6511189,25,31,46,31,3,0.0021521854259862,3.5788899178197405e-05,-0.442780991697527,0.6710379232366118
6511189,25,31,47,31,3,0.0023737891609481,5.36833487672961e-05,-0.462239146022453,0.6780450831274932
6511614,15,41,44,41,3,0.0033691279705229,0.0020936506019245,-0.7438406143062196,0.7715135469851016
6511614,15,41,47,41,3,0.0015512261447335,0.0012168225720587,-0.2871464878623472,0.6129999209638965
6511707,24,28,43,28,3,0.0038799433595877,7.157779835639481e-05,-0.5875759450009598,0.7215915194646219
6512801,15,41,44,41,3,0.0033691279705229,0.0020936506019245,-0.7438406143062196,0.7715135469851016
6512801,15,41,47,41,3,0.0015512261447335,0.0012168225720587,-0.2871464878623472,0.6129999209638965
6513264,24,28,43,28,3,0.0038799433595877,7.157779835639481e-05,-0.5875759450009598,0.7215915194646219
6513516,37,12,46,12,3,0.0011944065714897,0.001011036401784,-0.4002924016955618,0.6555294181251574
6513680,32,40,42,40,3,0.0018592177763755,0.0005368334876729,-0.7006732065961846,0.7582465096459636
6513680,32,40,46,40,3,0.0024977370127065,0.0008052502315094,-0.7739516803780914,0.7805203169449184
6514236,28,26,46,26,3,0.0015136661896552,3.5788899178197405e-05,-0.448187415638867,0.6729910279517584
6514854,26,28,43,28,3,0.0038348714134937,5.36833487672961e-05,-0.56069521629501,0.7124973355733342
6514998,20,31,47,31,3,0.0023512531879011,4.473612397274676e-05,-0.4312459889999858,0.6668552410520576
6515364,28,26,46,26,3,0.0015136661896552,3.5788899178197405e-05,-0.448187415638867,0.6729910279517584
6515624,26,28,43,28,3,0.0038348714134937,5.36833487672961e-05,-0.56069521629501,0.7124973355733342
6515948,33,26,46,26,3,0.0014460582705143,8.052502315094415e-05,-0.6626177647259128,0.7462123051379356
6516005,28,26,46,26,3,0.0015136661896552,3.5788899178197405e-05,-0.448187415638867,0.6729910279517584
6516604,30,40,46,40,3,0.0026667568105588,0.0008186710687012,-0.8872387465962926,0.8125248121003479
6516914,37,12,46,12,3,0.0011944065714897,0.001011036401784,-0.4002924016955618,0.6555294181251574
6519969,11,38,7,38,3,0.0011606026119192,0.0002460486818501,-0.5075207751669355,0.6941052683997084
6519969,11,38,42,38,3,0.002001945605673,0.0004428876273301,-0.6590303117511727,0.7450618479329935
6519969,11,38,46,38,3,0.0035193677908361,0.0005010445884947,-0.963015088522192,0.8322300243430397
6520332,11,38,7,38,3,0.0011606026119192,0.0002460486818501,-0.5075207751669355,0.6941052683997084
6520332,11,38,42,38,3,0.002001945605673,0.0004428876273301,-0.6590303117511727,0.7450618479329935
6520332,11,38,46,38,3,0.0035193677908361,0.0005010445884947,-0.963015088522192,0.8322300243430397
6521908,28,41,43,41,3,0.0027982166533328,0.0007784085571257,-0.9152826457087876,0.8199783663663363
6521908,28,41,44,41,3,0.0038912113461112,0.0010960350373322,-1.0747085944038044,0.8587473926440627
6525560,31,38,42,38,3,0.001494886212116,0.0005502543248647,-0.6043715216514635,0.7272016674581419
6526165,32,37,47,37,3,0.0015850301043039,0.0007560404951394,-0.508315403401698,0.6943839153113357
6528861,29,37,44,37,3,0.0036958995797041,0.0009886683397977,-1.0557554359711987,0.8544600185360345
6528861,29,37,47,37,3,0.0015662501267648,0.0006576210223993,-0.5437389836223813,0.7066894489705734
6530206,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6531120,32,37,44,37,3,0.0036170236740396,0.0010155100141813,-1.0570505789449391,0.8547557477418237
6531120,32,37,47,37,3,0.0015850301043039,0.0007560404951394,-0.508315403401698,0.6943839153113357
6531498,4,29,42,29,3,0.0035381477683752,7.157779835639481e-05,-0.668216655382035,0.7480023473258841
6532870,4,29,42,29,3,0.0035381477683752,7.157779835639481e-05,-0.668216655382035,0.7480023473258841
6533582,4,29,42,29,3,0.0035381477683752,7.157779835639481e-05,-0.668216655382035,0.7480023473258841
6534701,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6535703,35,18,43,18,3,0.0016451260324292,8.947224794549351e-05,-0.6670745358881837,0.7476377377462289
6536753,35,18,43,18,3,0.0016451260324292,8.947224794549351e-05,-0.6670745358881837,0.7476377377462289
6537522,27,36,43,36,3,0.0027982166533328,0.0008365655182903,-0.8621522476839006,0.8056981283779343
6539360,32,37,44,37,3,0.0036170236740396,0.0010155100141813,-1.0570505789449391,0.8547557477418237
6539360,32,37,45,37,3,0.001847949789852,0.0006755154719884,-0.665891651188662,0.7472598213594495
6539454,29,36,43,36,3,0.0028470445949346,0.0007291988207557,-0.921092928852566,0.8214990441461427
6540094,30,23,44,23,3,0.0016676620054762,2.684167438364805e-05,-0.4495980806067274,0.6734998638333525
6540923,35,23,44,23,3,0.0016113220728588,6.263057356184544e-05,-0.6564064412231339,0.744218676430771
6542563,35,19,47,19,3,0.0019418496775477,5.36833487672961e-05,-0.7587988972623279,0.776013567290421
6543006,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6543194,3,32,42,32,3,0.0033841519525542,8.947224794549351e-05,-0.7131040812931523,0.762109322902335
6543989,1,19,47,19,3,0.0019005337269616,4.473612397274676e-05,-0.6531904678965068,0.7431832526738482
6545661,25,19,47,19,3,0.002001945605673,8.947224794549351e-06,-0.3152832975206652,0.6237267172743033
6545710,34,18,43,18,3,0.0016977099695388,5.36833487672961e-05,-0.6928341884876279,0.7557931929141823
6545710,34,18,47,18,3,0.0020357495652435,6.710418595912013e-05,-0.7577589458858501,0.7757023481723377
6546779,5,30,47,30,3,0.0021859893855566,6.263057356184544e-05,-0.5910414209690401,0.7227536660108487
6548895,14,38,45,38,3,0.0026554888240353,0.0004652556893165,-0.8638614877531496,0.8061680073501571
6548895,14,38,47,38,3,0.0024000811295029,0.000424993177741,-0.8193017529079036,0.793692863633665
6549265,31,36,45,36,3,0.0017465379111406,0.0006128848984266,-0.6332426756994368,0.7367124093882483
6549633,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6549923,14,38,45,38,3,0.0026554888240353,0.0004652556893165,-0.8638614877531496,0.8061680073501571
6549923,14,38,47,38,3,0.0024000811295029,0.000424993177741,-0.8193017529079036,0.793692863633665
6550218,3,32,42,32,3,0.0033841519525542,8.947224794549351e-05,-0.7131040812931523,0.762109322902335
6559893,12,37,45,37,3,0.0018366818033285,0.0012526114712369,-0.4575342852912102,0.6763564675363961
6561138,12,37,45,37,3,0.0018366818033285,0.0012526114712369,-0.4575342852912102,0.6763564675363961
6561213,31,38,45,38,3,0.0020620415337983,0.0007560404951394,-0.7116454091671806,0.76165780982691
6561213,31,38,46,38,3,0.0025691009273552,0.0008499863554821,-0.839447296513682,0.7993908237715621
6563949,28,37,45,37,3,0.0019118017134851,0.0006084112860293,-0.6991249734456632,0.7577630336319559
6564123,31,38,45,38,3,0.0020620415337983,0.0007560404951394,-0.7116454091671806,0.76165780982691
6564123,31,38,46,38,3,0.0025691009273552,0.0008499863554821,-0.839447296513682,0.7993908237715621
6564500,15,41,43,41,3,0.0024376410845812,0.0016105004630188,-0.5668360912798238,0.7145872262909966
6564500,15,41,44,41,3,0.0033691279705229,0.0020936506019245,-0.7438406143062196,0.7715135469851016
6565819,15,41,43,41,3,0.0024376410845812,0.0016105004630188,-0.5668360912798238,0.7145872262909966
6565819,15,41,44,41,3,0.0033691279705229,0.0020936506019245,-0.7438406143062196,0.7715135469851016
6566405,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6566676,15,41,43,41,3,0.0024376410845812,0.0016105004630188,-0.5668360912798238,0.7145872262909966
6566676,15,41,44,41,3,0.0033691279705229,0.0020936506019245,-0.7438406143062196,0.7715135469851016
6567512,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6567570,27,40,45,40,3,0.0018742417584068,0.0006307793480157,-0.6917776177384158,0.7554615026775133
6568746,30,39,46,39,3,0.0028320206129033,0.0008902488670576,-0.8987595077663152,0.8156096137274746
6569704,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
6569857,21,29,47,29,3,0.0022160373496193,1.3420837191824024e-05,-0.3776493760297586,0.6471544602573024
