timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
12384549,44,29,42,29,3,0.002554076945323973,0.00016879256459869122,-1.2950855705836075,0.9023546439940632
12385921,42,12,46,12,3,0.0013258664142637685,0.00020432784135631044,-1.6428126794789841,0.9497891520050588
12386708,46,39,9,39,3,0.0007624670880893628,0.0005667876642840264,-0.25970272016871104,0.6024534528853762
12386783,43,18,45,18,3,0.0014761062345769436,2.3097929892452484e-05,-0.8291835490466222,0.7964997237971319
12387521,42,12,46,12,3,0.0013258664142637685,0.00020432784135631044,-1.6428126794789841,0.9497891520050588
12387968,43,40,45,40,3,0.0011305546478566411,0.0004974938746066689,-0.672403512906954,0.7493365764882396
12387968,43,40,46,40,3,0.001742781915632829,0.0007035984798008602,-0.8892710981494374,0.8130712998159727
12389121,8,36,16,36,3,0.0016751739964919,0.0002451934096275725,-0.8348369686050348,0.7980952460520756
12390060,8,36,16,36,3,0.0016751739964919,0.0002451934096275725,-0.8348369686050348,0.7980952460520756
12390664,42,12,46,12,3,0.0013258664142637685,0.00020432784135631044,-1.6428126794789841,0.9497891520050588
12390669,47,31,46,31,3,0.0014648382480534554,8.350790038040513e-05,-0.9313906184890319,0.8241742290217116
12391613,47,41,43,41,3,0.0025390529632926557,0.00048150300006574026,-1.1786017218908167,0.8807215971627599
12392646,47,41,43,41,3,0.0025390529632926557,0.00048150300006574026,-1.1786017218908167,0.8807215971627599
12392676,47,36,16,36,3,0.0012657704861384984,0.00038911128049593045,-0.7239056740242246,0.7654381768464139
12395164,47,41,43,41,3,0.0025390529632926557,0.00048150300006574026,-1.1786017218908167,0.8807215971627599
12395477,44,22,46,22,3,0.0012732824771541573,1.7767638378809603e-05,-0.8043987484500206,0.7894166381191223
12395561,43,29,47,29,3,0.001239478517583693,0.00011193612178650049,-1.0284929214063083,0.8481409905668276
12395894,47,41,43,41,3,0.0025390529632926557,0.00048150300006574026,-1.1786017218908167,0.8807215971627599
12397050,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12400180,42,29,47,29,3,0.0012319665265680345,0.00012437346865166722,-1.0074473136367776,0.843140067858606
12400798,16,36,45,36,3,0.002159697417001889,0.0002789519225473108,-1.019306773388726,0.8459713253292087
12401405,43,41,42,41,3,0.0010479227466843948,0.0004424141956323591,-0.6643066383902033,0.7467529634366072
12401657,47,28,45,28,3,0.001986921623641738,9.949877492133378e-05,-1.0987410750908928,0.8640594896065932
12401879,16,36,42,36,3,0.001881753749422516,0.000225649007410882,-0.9614291006576348,0.8318317709255859
12401879,16,36,45,36,3,0.002159697417001889,0.0002789519225473108,-1.019306773388726,0.8459713253292087
12403226,43,41,42,41,3,0.0010479227466843948,0.0004424141956323591,-0.6643066383902033,0.7467529634366072
12403594,42,25,44,25,3,0.0015737621177805072,1.5990874540928645e-05,-0.8437749129554251,0.8006024016337701
12403621,45,37,44,37,3,0.003271472087319384,0.0005845553026628357,-1.4147456837814194,0.9214284626488076
12403900,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12404005,9,39,46,39,3,0.0035606837414222455,0.0003215942546564538,-1.300555327985983,0.9032946468415066
12404180,43,32,46,32,3,0.001292062454693304,0.00012792699632742916,-1.0237826942434898,0.8470310369229381
12405096,43,41,42,41,3,0.0010479227466843948,0.0004424141956323591,-0.6643066383902033,0.7467529634366072
12405174,45,37,44,37,3,0.003271472087319384,0.0005845553026628357,-1.4147456837814194,0.9214284626488076
12405575,45,37,44,37,3,0.003271472087319384,0.0005845553026628357,-1.4147456837814194,0.9214284626488076
12405965,16,36,42,36,3,0.001881753749422516,0.000225649007410882,-0.9614291006576348,0.8318317709255859
12405965,16,36,45,36,3,0.002159697417001889,0.0002789519225473108,-1.019306773388726,0.8459713253292087
12406050,42,40,46,40,3,0.002328717214854211,0.0004548515424975258,-1.0954601759381832,0.8633424583289309
12406482,16,36,42,36,3,0.001881753749422516,0.000225649007410882,-0.9614291006576348,0.8318317709255859
12406595,43,40,46,40,3,0.001742781915632829,0.0007035984798008602,-0.8892710981494374,0.8130712998159727
12406598,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12407183,44,41,42,41,3,0.0007474431060580451,0.000762231686450932,0.02282378965586939,0.4908954157823037
12407183,44,41,43,41,3,0.0012695264816463276,0.0009718898193208852,-0.3525570201966155,0.6377897180500643
12407413,42,25,44,25,3,0.0015737621177805072,1.5990874540928645e-05,-0.8437749129554251,0.8006024016337701
12407605,43,41,42,41,3,0.0010479227466843948,0.0004424141956323591,-0.6643066383902033,0.7467529634366072
12407886,43,41,42,41,3,0.0010479227466843948,0.0004424141956323591,-0.6643066383902033,0.7467529634366072
