timestamp,X,Y,Z,chiamate,p0,p_cappuccio,z,significativo
1150393,34,18,34,2,0.0111856024424428,0.001860989160418,-1.5382502586206608,0.9380062816516976
1153431,27,36,27,2,1.7854114034226332e-05,0.000870274680446,4.683634828852967,1.4091596005627594e-06
1154225,36,27,36,4,0.0039814674296324,0.0005361513656319,-0.6067731174362493,0.7279992546045765
1154237,32,23,32,6,0.0004284987368214,0.0002603053731691,-0.0940761529318229,0.5374756682217581
1154715,23,32,23,4,0.0008927057017113,0.0002214538249349,-0.2096451984556447,0.5830276999062329
1154793,32,23,32,4,0.0004284987368214,0.0002603053731691,-0.0940761529318229,0.5374756682217581
1155000,23,35,23,4,8.927057017113166e-06,0.0027273786860406,35.07347513965798,0.0
1155025,23,32,23,2,0.0008927057017113,0.0002214538249349,-0.2096451984556447,0.5830276999062329
1155186,18,35,18,2,0.0,0.0028866700338008,inf,0.0
1155239,35,18,35,2,0.0106321249073817,0.001860989160418,-1.4861764204369856,0.9313837686210164
1155667,32,23,32,2,0.0004284987368214,0.0002603053731691,-0.0940761529318229,0.5374756682217581
1156527,38,14,38,2,0.0001249787982395,0.0040055946229457,15.091781915555412,0.0
1160603,28,25,28,2,0.0003927905087529,0.0002214538249349,-0.1019442123370498,0.5405995218125167
1160609,37,12,37,2,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1160745,23,35,23,4,8.927057017113166e-06,0.0027273786860406,35.07347513965798,0.0
1160776,35,23,35,2,0.0106053437363304,0.0019270367924161,-1.4402463166421071,0.9251011382301748
1160935,25,28,25,2,0.0009194868727626,0.0002331092894051,-0.2050675801744557,0.5812403372945091
1161310,23,35,23,2,8.927057017113166e-06,0.0027273786860406,35.07347513965798,0.0
1162563,37,12,37,4,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1163663,37,12,37,4,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1165452,41,15,41,2,8.927057017113166e-06,0.0198686817669684,503.7660314058597,0.0
1165499,39,13,39,4,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
1165505,19,34,19,6,8.927057017113166e-06,0.0031392050973231,42.47971607268042,0.0
1165536,37,12,37,6,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1165956,20,33,20,2,0.0,0.0031158941683826,inf,0.0
1165988,13,39,13,6,0.0172738553281139,0.0050856676638564,-2.191868072552855,0.985805482976399
1166288,19,34,19,6,8.927057017113166e-06,0.0031392050973231,42.47971607268042,0.0
1166577,39,13,39,2,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
1166762,29,36,29,2,1.7854114034226332e-05,0.0006565911651579,3.503030968071835,0.0002299979901699
1166826,39,13,39,2,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
1166843,33,20,33,2,0.0110159883591176,0.002342748358522,-1.5072071426585063,0.9341212149972956
1167084,34,19,34,8,0.0117033717494353,0.0020358211274719,-1.575021496455843,0.9423742586206658
1167304,13,39,13,4,0.0172738553281139,0.0050856676638564,-2.191868072552855,0.985805482976399
1167478,19,34,19,4,8.927057017113166e-06,0.0031392050973231,42.47971607268042,0.0
1167956,19,34,19,4,8.927057017113166e-06,0.0031392050973231,42.47971607268042,0.0
1167983,37,12,37,6,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1167986,34,19,34,4,0.0117033717494353,0.0020358211274719,-1.575021496455843,0.9423742586206658
1168067,37,12,37,6,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1168421,31,22,31,4,0.0003838634517358,0.0002603053731691,-0.0800348384840489,0.5318952261346935
1168529,22,31,22,2,0.0011158821271391,0.0002097983604646,-0.2531402829508704,0.5999200944729473
1168832,12,37,12,12,0.0296110481257643,0.0179999222969035,-2.297474929554292,0.9892041541816284
1169051,28,22,28,2,0.0004731340219069,0.0003302381599906,-0.0802090664267848,0.531964510284362
1169363,37,12,37,4,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1169379,31,22,31,2,0.0003838634517358,0.0002603053731691,-0.0800348384840489,0.5318952261346935
1170080,41,15,41,2,8.927057017113166e-06,0.0198686817669684,503.7660314058597,0.0
1170238,12,37,12,12,0.0296110481257643,0.0179999222969035,-2.297474929554292,0.9892041541816284
1170262,37,12,37,2,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1170492,19,33,19,4,0.0,0.0038035665721278,inf,0.0
1170554,39,13,39,2,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
1170860,19,34,19,2,8.927057017113166e-06,0.0031392050973231,42.47971607268042,0.0
1171038,19,22,19,2,0.0003570822806845,0.0001398655736431,-0.0762628387604569,0.5303950049576709
1171068,22,19,22,2,0.000241030539462,9.324371576207312e-05,-0.074356158024537,0.5296365034924196
1171536,34,19,34,4,0.0117033717494353,0.0020358211274719,-1.575021496455843,0.9423742586206658
1172169,19,33,19,4,0.0,0.0038035665721278,inf,0.0
1172430,37,12,37,2,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1172449,33,19,33,6,0.0113462894687508,0.002777885698745,-1.5728843584904744,0.9421272012319724
1172505,5,34,5,6,8.927057017113166e-06,0.0006682466296281,4.894702539189775,4.922726640765873e-07
1172877,19,33,19,2,0.0,0.0038035665721278,inf,0.0
1172946,12,37,12,12,0.0296110481257643,0.0179999222969035,-2.297474929554292,0.9892041541816284
1172962,34,5,34,4,0.0037404368901704,0.0004118264112824,-0.5452749651347386,0.7072177902051018
1173199,29,36,29,2,1.7854114034226332e-05,0.0006565911651579,3.503030968071835,0.0002299979901699
1173282,5,34,5,4,8.927057017113166e-06,0.0006682466296281,4.894702539189775,4.922726640765873e-07
1173288,33,19,33,6,0.0113462894687508,0.002777885698745,-1.5728843584904744,0.9421272012319724
1173472,34,5,34,2,0.0037404368901704,0.0004118264112824,-0.5452749651347386,0.7072177902051018
1173613,37,12,37,2,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1173713,5,34,5,2,8.927057017113166e-06,0.0006682466296281,4.894702539189775,4.922726640765873e-07
1173804,41,15,41,2,8.927057017113166e-06,0.0198686817669684,503.7660314058597,0.0
1173843,37,12,37,2,3.5708228068452664e-05,0.0189012782159369,238.0448388262679,0.0
1174002,15,41,15,4,0.0298342245511922,0.0183068495279536,-2.2897239263594438,0.9889813372449452
1175783,39,13,39,6,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
1176268,13,39,13,10,0.0172738553281139,0.0050856676638564,-2.191868072552855,0.985805482976399
1176582,39,13,39,4,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
1177037,39,13,39,4,8.034351315401852e-05,0.005971482963596,34.37320328536393,0.0
