timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
6184619,44,12,44,12,3,0.0008939269308633908,0.00016701580076081027,-0.5641773497860976,0.7136832794918808
6184779,46,22,46,22,3,0.0008638789668007558,0.00013325728784107204,-0.5004737297262689,0.6916292253276
6184975,44,12,44,12,3,0.0008939269308633908,0.00016701580076081027,-0.5641773497860976,0.7136832794918808
6185449,45,40,45,40,3,1.5023982031317493e-05,0.0006822773137462887,5.0747116924275995,1.94041982926052e-07
6185701,44,12,44,12,3,0.0008939269308633908,0.00016701580076081027,-0.5641773497860976,0.7136832794918808
6186387,42,32,42,32,3,0.0007249071330110693,0.0005099312214718357,-0.25371822492686913,0.6001433733894291
6187898,45,40,45,40,3,1.5023982031317493e-05,0.0006822773137462887,5.0747116924275995,1.94041982926052e-07
6187975,42,32,42,32,3,0.0007249071330110693,0.0005099312214718357,-0.25371822492686913,0.6001433733894291
6189319,42,32,42,32,3,0.0007249071330110693,0.0005099312214718357,-0.25371822492686913,0.6001433733894291
6189333,47,30,47,30,3,0.0004619874474630128,0.00030204985243976334,-0.18975467928416032,0.5752493143743264
6189342,44,31,44,31,3,0.0005183273800804534,0.000401548627361097,-0.14511734799847614,0.5576908892230868
6189698,44,31,44,31,3,0.0005183273800804534,0.000401548627361097,-0.14511734799847614,0.5576908892230868
6189839,45,40,45,40,3,1.5023982031317493e-05,0.0006822773137462887,5.0747116924275995,1.94041982926052e-07
6190148,45,38,45,38,3,3.7559955078293715e-06,0.0007497943395857652,11.675980113764078,0.0
6190740,45,27,45,27,3,0.0006084712722683582,0.0003269245461700967,-0.3149596641695669,0.6236038601693565
6190878,44,31,44,31,3,0.0005183273800804534,0.000401548627361097,-0.14511734799847614,0.5576908892230868
6191008,45,40,45,40,3,1.5023982031317493e-05,0.0006822773137462887,5.0747116924275995,1.94041982926052e-07
6191523,45,38,45,38,3,3.7559955078293715e-06,0.0007497943395857652,11.675980113764078,0.0
6193284,42,39,42,39,3,3.7559955078293715e-06,0.0005365826790400501,7.5293048434833585,2.55351295663786e-14
6194288,42,36,42,36,3,3.7559955078293715e-06,0.0005365826790400501,7.483992667619921,3.608224830031759e-14
6194293,42,39,42,39,3,3.7559955078293715e-06,0.0005365826790400501,7.5293048434833585,2.55351295663786e-14
6194382,43,36,43,36,3,7.511991015658745e-06,0.0010678350665664573,13.705162117752106,0.0
6194802,46,21,46,21,3,0.0009915828140669542,0.0001297037601653101,-0.5632062177241748,0.7133527652693996
6195597,42,36,42,36,3,3.7559955078293715e-06,0.0005365826790400501,7.483992667619921,3.608224830031759e-14
6195867,42,39,42,39,3,3.7559955078293715e-06,0.0005365826790400501,7.5293048434833585,2.55351295663786e-14
6196248,43,36,43,36,3,7.511991015658745e-06,0.0010678350665664573,13.705162117752106,0.0
6196819,44,13,44,13,3,0.0010554347377000537,0.00018656020297750083,-0.6411012577133309,0.7392715514379941
6196877,46,21,46,21,3,0.0009915828140669542,0.0001297037601653101,-0.5632062177241748,0.7133527652693996
6197702,46,40,46,40,3,1.8779977539146866e-05,0.0009025960296435275,7.005827383316952,1.2276846206304981e-12
6198132,46,21,46,21,3,0.0009915828140669542,0.0001297037601653101,-0.5632062177241748,0.7133527652693996
6201140,44,13,44,13,3,0.0010554347377000537,0.00018656020297750083,-0.6411012577133309,0.7392715514379941
6201151,43,28,43,28,3,0.0008375869982459501,0.0005579038450946216,-0.31889502737262004,0.6250969423982504
6202977,42,39,42,39,3,3.7559955078293715e-06,0.0005365826790400501,7.5293048434833585,2.55351295663786e-14
6203222,45,38,45,38,3,3.7559955078293715e-06,0.0007497943395857652,11.675980113764078,0.0
6203664,43,14,43,14,3,0.0009840708230512956,0.00019544402216690565,-0.5904021730709971,0.7225394729716007
6203935,42,39,42,39,3,3.7559955078293715e-06,0.0005365826790400501,7.5293048434833585,2.55351295663786e-14
6206631,46,21,46,21,3,0.0009915828140669542,0.0001297037601653101,-0.5632062177241748,0.7133527652693996
6207327,46,21,46,21,3,0.0009915828140669542,0.0001297037601653101,-0.5632062177241748,0.7133527652693996
