timestamp,u1,u2,u3,chiamate,p0,p_cappuccio,z,significativo,evento,u4
1467205524,2030,1935,2030,26,0.0,0.0252078542366884,inf,0.0,1b,
1467205531,1935,2030,1935,132,8.811349017534584e-05,0.0243233681231204,11.254399310208504,0.0,1b,
1467205538,2030,1935,2030,24,0.0,0.0252078542366884,inf,0.0,1b,
1467205547,2030,1935,2030,24,0.0,0.0252078542366884,inf,0.0,1b,
1467205553,2030,1935,2030,24,0.0,0.0252078542366884,inf,0.0,1b,
1467205559,2030,1935,2030,24,0.0,0.0252078542366884,inf,0.0,1b,
1467205566,1935,2030,1935,124,8.811349017534584e-05,0.0243233681231204,11.254399310208504,0.0,1b,
1467205572,2030,1935,2030,22,0.0,0.0252078542366884,inf,0.0,1b,
1467205579,2030,1935,2030,22,0.0,0.0252078542366884,inf,0.0,1b,
1467205585,2030,1935,2030,22,0.0,0.0252078542366884,inf,0.0,1b,
