A,B,X,Y,Z,chiamate,evento,p0,p_cappuccio,significativo,timestamp,z
,,1766,1810,1766.0,10,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1467294962,0.24787526792859904
,,1766,1810,1766.0,10,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1467294965,0.24787526792859904
,,1766,1810,1766.0,10,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1467294966,0.24787526792859904
,,1766,1810,1766.0,10,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1467294969,0.24787526792859904
,,1766,1810,1766.0,10,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1467294975,0.24787526792859904
,,1766,1810,1766.0,10,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1467294977,0.24787526792859904
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467295080,0.07584544444859387
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467295082,0.07584544444859387
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467295095,0.07584544444859387
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467295096,0.07584544444859387
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467295097,0.07584544444859387
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1467384072,-0.665030441383231
,,1810,1766,1810.0,4,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467731032,0.07584544444859387
,,1810,1766,1810.0,4,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467731033,0.07584544444859387
,,1810,1766,1810.0,4,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1467731038,0.07584544444859387
,,1935,2024,1935.0,6,1B,0.0007930214115781126,0.0010613833362816203,0.4879747255858921,1467733745,0.03014745891729865
,,1935,2024,1935.0,6,1B,0.0007930214115781126,0.0010613833362816203,0.4879747255858921,1467733747,0.03014745891729865
,,1773,1766,1773.0,8,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1467736683,0.27936333140863623
,,1935,2024,1935.0,12,1B,0.0007930214115781126,0.0010613833362816203,0.4879747255858921,1467737567,0.03014745891729865
,,1935,2024,1935.0,12,1B,0.0007930214115781126,0.0010613833362816203,0.4879747255858921,1467737569,0.03014745891729865
,,2024,1935,2024.0,4,1B,0.0002349693071342556,0.0005306916681408102,0.4558726166562508,1467739112,0.1108374678827268
,,2024,1935,2024.0,8,1B,0.0002349693071342556,0.0005306916681408102,0.4558726166562508,1467739113,0.1108374678827268
,,1935,2024,1935.0,12,1B,0.0007930214115781126,0.0010613833362816203,0.4879747255858921,1467739178,0.03014745891729865
,,1935,2024,1935.0,12,1B,0.0007930214115781126,0.0010613833362816203,0.4879747255858921,1467739183,0.03014745891729865
,,1807,1766,1807.0,12,1B,0.00041119628748494726,0.0008255203726634825,0.4261499688051238,1467840025,0.1861846798527742
,,1766,1807,1766.0,24,1B,0.00226157958116721,0.0017689722271360339,0.5193970993240948,1467841070,-0.04864049054129632
,,1766,1829,1766.0,6,1B,0.0002937116339178195,0.00035379444542720683,0.4972023720246838,1468164593,0.007012670862067443
,,1766,1829,1766.0,6,1B,0.0002937116339178195,0.00035379444542720683,0.4972023720246838,1468164596,0.007012670862067443
,,1766,1829,1766.0,6,1B,0.0002937116339178195,0.00035379444542720683,0.4972023720246838,1468164699,0.007012670862067443
,,1766,1829,1766.0,6,1B,0.0002937116339178195,0.00035379444542720683,0.4972023720246838,1468164702,0.007012670862067443
,,1831,1766,1831.0,8,1B,0.0001174846535671278,0.00023586296361813785,0.4924533906708201,1468368296,0.01891767263241896
,,1766,1831,1766.0,4,1B,8.811349017534584e-05,0.00011793148180906893,0.4974653764791289,1468368425,0.006353401725967081
,,1831,1766,1831.0,6,1B,0.0001174846535671278,0.00023586296361813785,0.4924533906708201,1468368700,0.01891767263241896
,,1766,1831,1766.0,2,1B,8.811349017534584e-05,0.00011793148180906893,0.4974653764791289,1468368780,0.006353401725967081
,,1766,1831,1766.0,2,1B,8.811349017534584e-05,0.00011793148180906893,0.4974653764791289,1468368799,0.006353401725967081
,,1831,1766,1831.0,2,1B,0.0001174846535671278,0.00023586296361813785,0.4924533906708201,1468368844,0.01891767263241896
,,1832,1766,1832.0,2,1B,0.0004699386142685112,0.00014741435226133616,0.5229804855023092,1468402134,-0.05763542813464926
,,1788,1766,1788.0,4,1B,0.0008223925749698945,0.01845627690311929,0.0,1468667730,10.293571055719244
,,1788,1766,1788.0,4,1B,0.0008223925749698945,0.01845627690311929,0.0,1468667731,10.293571055719244
,,1788,1766,1788.0,4,1B,0.0008223925749698945,0.01845627690311929,0.0,1468667733,10.293571055719244
,,1766,1788,1766.0,12,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1468667808,0.9215159531615112
,,1766,1788,1766.0,12,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1468667812,0.9215159531615112
,,1773,1766,1773.0,4,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1468779606,0.27936333140863623
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1469103435,-0.665030441383231
,,1788,1766,1788.0,20,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104312,10.293571055719244
,,1788,1766,1788.0,20,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104314,10.293571055719244
,,1788,1766,1788.0,20,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104326,10.293571055719244
,,1766,1788,1766.0,24,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104394,0.9215159531615112
,,1766,1788,1766.0,24,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104399,0.9215159531615112
,,1766,1788,1766.0,24,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104401,0.9215159531615112
,,1766,1788,1766.0,24,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104406,0.9215159531615112
,,1766,1788,1766.0,24,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104661,0.9215159531615112
